,0
399,4.216281890869141
400,4.004729270935059
401,5.591976165771484
402,5.041200160980225
403,3.515425682067871
404,4.801758766174316
405,5.468814373016357
406,6.454586982727051
407,5.993091583251953
408,3.615705966949463
409,4.124176025390625
410,4.0471649169921875
411,4.7837090492248535
412,4.4771952629089355
413,3.989137649536133
414,3.9050943851470947
415,3.552137613296509
416,5.744333267211914
417,5.887503623962402
418,5.878564834594727
419,6.162303924560547
420,4.986020088195801
421,4.5946364402771
422,3.2205867767333984
423,5.054588794708252
424,5.019537925720215
425,5.176473140716553
426,5.156843185424805
427,5.9191203117370605
428,6.063144207000732
429,5.901330947875977
430,4.0004730224609375
431,4.614267826080322
432,4.779852390289307
433,6.093930721282959
434,4.526628494262695
435,4.605184555053711
436,4.3206562995910645
437,4.500845432281494
438,5.524621963500977
439,4.812292098999023
440,3.816516637802124
441,3.9567346572875977
442,3.727726697921753
443,4.648756504058838
444,6.189866065979004
445,5.992488861083984
446,5.3054890632629395
447,5.923069477081299
448,5.630534648895264
449,4.507441520690918
450,5.4951395988464355
451,6.2629828453063965
452,4.554903984069824
453,4.840818881988525
